"CONTRACT_MODE","CONTRACT_NAME","CONATT_DESCRIPTION","CONATT_KEY"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","transaction id","externalActionId"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","cube transaction id","orderId"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","cube transaction id","orderId"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","transaction id","externalActionId"
"SYNC","ALIPAY\DIRECTPAY\AUTHENTICATION","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\DIRECTPAY\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","transaction id","orderId"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","currency of refund","currency"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","external action id","externalActionId"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","transaction id","orderId"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","currency of refund","currency"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","ALIPAY\DIRECTPAY\REFUND","external action id","externalActionId"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","transaction id","orderId"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","transaction id","externalActionId"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","The bank with which the customer pays the order","bankName"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","transaction id","externalActionId"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","The bank with which the customer pays the order","bankName"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\EBANK\AUTHENTICATION","transaction id","orderId"
"ASYNC","ALIPAY\EBANK\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\EBANK\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\EBANK\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\EBANK\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\EBANK\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\EBANK\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\EBANK\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\EBANK\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\EBANK\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\EBANK\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\EBANK\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\EBANK\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\EBANK\REFUND","transaction id","orderId"
"ASYNC","ALIPAY\EBANK\REFUND","currency of refund","currency"
"ASYNC","ALIPAY\EBANK\REFUND","external action id","externalActionId"
"ASYNC","ALIPAY\EBANK\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","ALIPAY\EBANK\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\EBANK\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\EBANK\REFUND","transaction id","orderId"
"ASYNC","ALIPAY\EBANK\REFUND","currency of refund","currency"
"ASYNC","ALIPAY\EBANK\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","ALIPAY\EBANK\REFUND","external action id","externalActionId"
"SYNC","ALIPAY\SCANPAY\CAPTURE","store transaction id","orderId"
"SYNC","ALIPAY\SCANPAY\CAPTURE","currency of payment","currency"
"SYNC","ALIPAY\SCANPAY\CAPTURE","Request Id generated by client application.","externalActionId"
"SYNC","ALIPAY\SCANPAY\CAPTURE","The total amount to pay.","paymentAmount"
"SYNC","ALIPAY\SCANPAY\CAPTURE","A breif description of the transaction.","subject"
"SYNC","ALIPAY\SCANPAY\CAPTURE","store id","storeId"
"SYNC","ALIPAY\SCANPAY\CAPTURE","The barcode scan by till.","barcode"
"SYNC","ALIPAY\SCANPAY\REFUND","Request Id generated by client application.","externalActionId"
"SYNC","ALIPAY\SCANPAY\REFUND","store id","storeId"
"SYNC","ALIPAY\SCANPAY\REFUND","store transaction id","orderId"
"SYNC","ALIPAY\SCANPAY\REFUND","currency of payment","currency"
"SYNC","ALIPAY\SCANPAY\REFUND","The amount to refund.","refundAmount"
"SYNC","ALIPAY\SCANPAY\VOID","store transaction id","orderId"
"SYNC","ALIPAY\SCANPAY\VOID","store id","storeId"
"SYNC","ALIPAY\SCANPAY\VOID","Request Id generated by client application.","externalActionId"
"SYNC","ALIPAY\SCANPAY\VOID","currency of payment","currency"
"SYNC","ALIPAY\SCANPAY\VOID","Request Id generated by client application.","externalActionId"
"SYNC","ALIPAY\SCANPAY\VOID","currency of payment","currency"
"SYNC","ALIPAY\SCANPAY\VOID","store transaction id","orderId"
"SYNC","ALIPAY\SCANPAY\VOID","store id","storeId"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","cube transaction id","orderId"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","transaction id","externalActionId"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","cube transaction id","orderId"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","transaction id","externalActionId"
"SYNC","ALIPAY\SCAN_PAY\AUTHENTICATION","currency of payment","currency"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\SCAN_PAY\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","external action id","externalActionId"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","currency of refund","currency"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","transaction id","orderId"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","external action id","externalActionId"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","currency of refund","currency"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","transaction id","orderId"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\SCAN_PAY\REFUND","The psp transaction id","pspTransactionId"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","external action id","externalActionId"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","Id of the order","orderId"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","external action id","externalActionId"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","currency of payment","currency"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","Id of the order","orderId"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","description of the subject","subject"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","ALIPAY\WAPMOBILE\AUTHENTICATION","Url used by alipay to display the payment success","successUrl"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","description of the subject","subject"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","transaction id","externalActionId"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","currency of payment","currency"
"ASYNC","ALIPAY\WAPMOBILE\DoCapture","cube transaction id","orderId"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","external action id","externalActionId"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","currency of payment","currency"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","Id of the order","orderId"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","external action id","externalActionId"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","currency of payment","currency"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","Id of the order","orderId"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","The amount to refund","refundAmount"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","The reason why the refund is requested","refundReason"
"ASYNC","ALIPAY\WAPMOBILE\REFUND","The psp transaction id","pspTransactionId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/AUTHENTICATION","short description of the purchase, max length 127 character","subject"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/AUTHENTICATION","amount of payment","paymentAmount"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/AUTHENTICATION","store order id","orderId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/AUTHENTICATION","request Id generated by client application","externalActionId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/AUTHENTICATION","redirect url","redirectUrl"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/CAPTURE","store order id","orderId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/CAPTURE","amount of payment","paymentAmount"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/CAPTURE","request Id generated by client application","externalActionId"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/REFUND","amount of refund","pspTransactionId"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/REFUND","amount of refund","refundAmount"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/REFUND","store order id","orderId"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/REFUND","request Id generated by client application","externalActionId"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN/REFUND","total amount of the transaction to refund","total_fee"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/AUTHENTICATION","short description of the purchase, max length 127 character","subject"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/AUTHENTICATION","redirect url","redirectUrl"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/AUTHENTICATION","amount of payment","paymentAmount"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/AUTHENTICATION","request Id generated by client application","externalActionId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/AUTHENTICATION","store order id","orderId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/CAPTURE","store order id","orderId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/CAPTURE","request Id generated by client application","externalActionId"
"SYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/CAPTURE","amount of payment","paymentAmount"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/REFUND","total amount of the transaction to refund","total_fee"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/REFUND","amount of refund","pspTransactionId"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/REFUND","amount of refund","refundAmount"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/REFUND","store order id","orderId"
"ASYNC","DIRECT_PAY/WECHAT_ONLINE/CUBECN_QA/REFUND","request Id generated by client application","externalActionId"
"ASYNC","ECHECK/FIRSTDATA/CUBECN/CAPTURE","amount of payment","paymentAmount"
"ASYNC","ECHECK/FIRSTDATA/CUBECN/CAPTURE","pin code","pinCode"
"ASYNC","ECHECK/FIRSTDATA/CUBECN/CAPTURE","card number","cardNumber"
"ASYNC","ECHECK/FIRSTDATA/CUBECN/CAPTURE","currency of payment","orderId"
"SYNC","ECHECK/FIRSTDATA/CUBECN/CHECK","amount of payment","paymentAmount"
"SYNC","ECHECK/FIRSTDATA/CUBECN/CHECK","currency of payment","currency"
"SYNC","ECHECK/FIRSTDATA/CUBECN/CHECK","pin code","pinCode"
"SYNC","ECHECK/FIRSTDATA/CUBECN/CHECK","card number","cardNumber"
